iter	MultiClass
0	1.39149169
1	1.238530288
2	1.127740671
3	1.039269179
4	0.9595440151
5	0.8968867119
6	0.8401181748
7	0.7910818195
8	0.7457830483
9	0.7076596776
10	0.6691820456
11	0.6365615046
12	0.6079572894
13	0.5804616167
14	0.5554161516
15	0.5313890951
16	0.5113090116
17	0.493924373
18	0.4771385268
19	0.4606055454
20	0.4461515558
21	0.4331315081
22	0.4204717151
23	0.4077651938
24	0.3958674208
25	0.384144606
26	0.3746333283
27	0.3661338997
28	0.3572490201
29	0.3501029411
30	0.3423081788
31	0.3352630563
32	0.328530112
33	0.3225257647
34	0.3169538271
35	0.3114123441
36	0.3056631769
37	0.3013288218
38	0.296965668
39	0.2924087527
40	0.2879632477
41	0.2837897739
42	0.2800602737
43	0.2760719324
44	0.2726211182
45	0.2689375325
46	0.2656931622
47	0.2626940766
48	0.2597442597
49	0.257252389
50	0.2544956681
51	0.2514380374
52	0.2489137871
53	0.2466924418
54	0.2444567684
55	0.2426468276
56	0.2406919274
57	0.2389325409
58	0.2366315736
59	0.2349802919
60	0.2334242731
61	0.2315337106
62	0.2302704502
63	0.2287926355
64	0.2272863243
65	0.2258463683
66	0.2242393603
67	0.22303125
68	0.2221193713
69	0.220760567
70	0.219318226
71	0.2179738746
72	0.2167541274
73	0.2158454399
74	0.2149271475
75	0.2138026489
76	0.2128419785
77	0.2121172721
78	0.211102524
79	0.2100694926
80	0.2093240197
81	0.2086077796
82	0.2082656393
83	0.2075009505
84	0.2066837418
85	0.2059971076
86	0.2053179397
87	0.2046092876
88	0.2038239479
89	0.2031641748
90	0.202584452
91	0.2019376209
92	0.2013874741
93	0.2008894682
94	0.2003025474
95	0.1997930903
96	0.1993244607
97	0.1987779488
98	0.198247163
99	0.1975620182
100	0.1970263996
101	0.1966440506
102	0.1962302519
103	0.1957789246
104	0.1953987574
105	0.1949766801
106	0.1945134834
107	0.1940305951
108	0.1937238056
109	0.1933260806
110	0.1928651195
111	0.1925753708
112	0.1922332893
113	0.1918130874
114	0.1915360797
115	0.1911555577
116	0.19089597
117	0.190535171
118	0.1901169273
119	0.1897784136
120	0.1893424745
121	0.1890167458
122	0.1887828032
123	0.1883992412
124	0.1880279783
125	0.187803234
126	0.1875332981
127	0.1871447526
128	0.18683897
129	0.1865678142
130	0.1863251187
131	0.1860359631
132	0.1857009705
133	0.1854034883
134	0.1851378498
135	0.1848634399
136	0.1845919735
137	0.1843414562
138	0.1841132192
139	0.1837774291
140	0.1835702566
141	0.1834004716
142	0.1832276828
143	0.1829990175
144	0.1828162432
145	0.1825540545
146	0.1823766949
147	0.1821533213
148	0.1818751429
149	0.1816801311
150	0.1815101418
151	0.1813103557
152	0.1811284969
153	0.1808891365
154	0.1806085418
155	0.1804079998
156	0.1802256993
157	0.1801051976
158	0.1799341142
159	0.1798057706
160	0.1796493267
161	0.1794929667
162	0.1793022461
163	0.1791141357
164	0.1789357583
165	0.178797758
166	0.1785977866
167	0.1784667622
168	0.1782440061
169	0.1780553517
170	0.1778743201
171	0.177747282
172	0.1776535632
173	0.1775227749
174	0.1773579616
175	0.1771823953
176	0.1768848876
177	0.176713845
178	0.176541384
179	0.1763991327
180	0.1762459193
181	0.1760769236
182	0.1758664771
183	0.1757461846
184	0.1755951011
185	0.1754386266
186	0.1752565476
187	0.1750619882
188	0.174928178
189	0.1748490245
190	0.1746881996
191	0.1745167921
192	0.1743544468
193	0.1741965203
194	0.1740962951
195	0.1739351288
196	0.1738052562
197	0.1737047271
198	0.1735382511
199	0.1734051936
